A/S,Sæthre ved A/S Freia var kontaktutvalgets formann.
su.,Sørgåande post gjekk frå Molde til Bergen kvar su. kl. 9 og skulle etter tidstabellen vere på Kirkhorn
sv.,Dette er tekst før sv. og etter forkortelsen.
såk.,"Jeg peker dessuten på at det uansett ikke er såk. bortkastet med dette året på ISH, han vil ha"
sø.,"Sivertsen, som er ankommet hid til Namsos sø. den 26. april med Kullast fra England, hvilket han har"
søn.,"Sivertsen, som er ankommet hid til Namsos søn. den 26. april med Kullast fra England, hvilket han har"
t.d.,"I norske dialektar er det fleire uttrykk, t.d. tev og fert. Dei uttrykker noko som"
t.o.,"Personvernombudet tar t.o. at prosjektet faller inn under helseforskningslovens bestemmelser, og at endring av dato for prosjektslutt er"
t.o.m.,i leilegheita? Kan Moene og Kjelsrud t.o.m. ha handla på ordre frå nokon andre
tab.,Nå vet vi fra Tab. 20 at flertallet av respondentene på spørreskjemaet ikke egentlig kan samisk.
techn.,"av et eksempel i prosjektoppgaven «Logistikkregnskap i verdikjeder», skrevet av stud. techn. Freddy Johnsen ved NTNU, høsten 2002."
temp.,Den nye enheten ble da prioritert koblet opp for fukt/temp. målinger. Dette medfører at data fra redoks
ti.,"Sivertsen, som er ankommet hid til Namsos ti. den 26. april med Kullast fra England, hvilket han har"
tir.,"Sivertsen, som er ankommet hid til Namsos tir. den 26. april med Kullast fra England, hvilket han har"
tidl.,og Johan Johansen og Isak Åsen fra Mosti. Tidl. lokfører Jarl Per Hansen fra Sjønstågården kan i dag
tils.,Bygget har to boenheter med tils. 16 sengeplasser.
tilsv.,Vedlikehold av maskiner tilsv. 1000 1 - Ta med en tredje maskin som spare 
tlf.,Ring og bestill på tlf. 21 93 59 00 eller send inn kupongen!
to.,"Sivertsen, som er ankommet hid til Namsos to. den 26. april med Kullast fra England, hvilket han har"
tor.,"Sivertsen, som er ankommet hid til Namsos tor. den 26. april med Kullast fra England, hvilket han har"
tvml.,"Se eksempelvis tvml. § 189 sammenholdt med Francis Hagerup, Den norske civilproces"
ty.,Sørgåande post gjekk frå Molde til Bergen kvar ty. kl. 9 og skulle etter tidstabellen vere på Kirkhorn
ult.,"desember ult. anno, se dokument A og D"
utg.,populcer-foredrag ved universitetslærene (1948) Utg. av Sentralkomiteen for økt arbeidseffektivitet i samarbeid med Universitetet i Oslo
v.,"For riks og fylkesveg er regionvegkontoret skiltmyndighet for varslingen, og for kommunal v. er kommunen skiltmyndighet."
vedk.,Bakgrunnen for overføring av alle saker vedk. Borgerdådsmedaljen til Justisdepartementet var det store antall medaljer som var utdelt i de
vedr.,"Vedr. punktet om Bøter til Verket så omhandlet det stort sett bøter for ulovlig salg av brennevin, skoft"
vg.,"Foruten fylkeskommunens avdelinger for vg. opplæring samt næring og nyskaping, deltok blant andre Høgskolen i Hedmark, "
vgs.,Idrettslinja har vore eit fast utdanningsprogram på Firda vgs. sidan 1979.
vha.,Det kan være en hjelp å holde hånden fullt supinert vha. en blyhånd eller lign. for å unngå å
vit.ass.,Ved denne korsvei har vi også fått god hjelp av vit.ass. Selma Taslaman. Resultatet er en bok med færre
vn.,"For det andre er det kongen i Babel som er redskapet i Guds dom over Egypt, vn. Derfor er"
vol.,"Journal of Asian Studies, vol. 54, nr. 1, 43—63."
vs.,Det er også et spørsmål om organisering i tverrgående klinikker vs. stedlig ledelse med samlet ansvar for virksomheten påvirker samarbeid
vsa.,"Resten av sangerlaget inkluderer noen av de beste unge norske talentene for øyeblikket, vsa. medlemmer av ensemblet"
årg.,"Munchs grafikk i tre nordiske samlinger» i Konsthistorik Tidsskrift. 57. årg., 1988, s. 76-82."
årh.,"Allerede den romerske arkitekten Vitruvius Pollio (første årh. f.Kr.) anbefalte å bygge templene rettet etter soloppgangen, da"
